video_id,category,purpose_tag,stroke_label,duration_sec,kick_frequency,kick_ratio,stroke_cycle_hz,detection_rate,l_elbow_angle_mean,l_elbow_angle_std,l_elbow_angle_min,r_elbow_angle_mean,r_elbow_angle_std,r_elbow_angle_min,l_shoulder_angle_mean,l_shoulder_angle_std,l_shoulder_angle_min,r_shoulder_angle_mean,r_shoulder_angle_std,r_shoulder_angle_min,head_angle_mean,head_angle_std,head_angle_min,head_v_angle_mean,head_v_angle_std,head_v_angle_min,hip_angle_mean,hip_angle_std,hip_angle_min,body_roll_mean,body_roll_std,body_roll_min,body_roll_deg_mean,body_roll_deg_std,body_roll_deg_min,hip_roll_mean,hip_roll_std,hip_roll_min,elbow_symmetry_mean,elbow_symmetry_std,elbow_symmetry_min,shoulder_symmetry_mean,shoulder_symmetry_std,shoulder_symmetry_min,entry_angle_mean,entry_angle_std,entry_angle_min,streamline_width_mean,streamline_width_std,streamline_width_min,shoulder_width_mean,shoulder_width_std,shoulder_width_min,norm_l_wrist_x_mean,norm_l_wrist_x_std,norm_l_wrist_x_min,norm_r_wrist_x_mean,norm_r_wrist_x_std,norm_r_wrist_x_min,norm_l_wrist_y_mean,norm_l_wrist_y_std,norm_l_wrist_y_min,norm_r_wrist_y_mean,norm_r_wrist_y_std,norm_r_wrist_y_min,l_ankle_roll_std5_mean,l_ankle_roll_std5_std,l_ankle_roll_std5_min,r_ankle_roll_std5_mean,r_ankle_roll_std5_std,r_ankle_roll_std5_min
라이언 머피 배영 (반복) ｜ 2016 리우 올림픽.mp4,competition_backstroke,competition,backstroke,96.61,0.393,0.1778,0.405,0.366,130.0086,42.307,5.0,134.6466,39.1948,11.8,49.5882,42.9072,1.05,48.4063,41.1933,1.0,61.4522,52.2611,3.75,20.4324,20.3111,0.07,156.8314,32.2965,38.33,0.0322,0.0244,0.0004,55.9409,21.6312,1.32,0.0179,0.012,0.0,37.2871,36.6939,0.21,23.9368,25.5528,0.42,0.0911,0.0527,0.0011,0.0371,0.0316,0.0004,0.0388,0.0258,0.003,13.9326,13.453,3.4356,14.2809,13.4442,3.4091,14.8535,17.7085,1.7797,14.8597,17.4337,3.0528,0.0497,0.0369,0.0,0.0478,0.0385,0.0
50 breaststroke slow motion.mp4,competition_breaststroke,competition,breaststroke,108.83,0.221,0.0395,0.383,0.844,123.3991,54.3754,4.23,124.8739,56.2636,2.79,59.0385,41.7701,0.78,52.1425,44.4322,1.54,105.4548,52.4872,6.25,39.9996,26.2584,0.1,151.0025,32.5724,1.13,0.0065,0.0113,0.0,14.2593,23.0899,0.01,0.0033,0.0062,0.0,27.352,30.1475,0.01,23.6514,21.6224,0.01,0.0231,0.0221,0.0,0.0518,0.0389,0.0001,0.0444,0.0229,0.0008,14.5317,22.6052,1.1691,13.9441,23.0778,0.9988,18.1538,36.7751,1.8322,18.2102,36.727,1.2087,0.0067,0.0161,0.0,0.0076,0.0165,0.0
Adam Peaty ｜ 100m Breaststroke ｜ Tokyo Olympics 2020 ｜ Underwater Slo Mo Technique.mp4,competition_breaststroke,competition,breaststroke,18.35,0.0,0.0,0.0,0.05,98.2615,48.4813,29.46,61.6246,49.1826,3.1,52.6831,41.1418,5.55,45.1246,41.484,9.85,57.7292,52.3622,7.17,48.9669,22.0756,1.72,168.3492,10.1429,150.3,0.0335,0.0305,0.0016,66.9792,20.4208,28.19,0.0222,0.0186,0.0005,57.3323,39.051,13.42,25.1508,29.0164,1.54,0.0475,0.0456,0.0018,0.0134,0.0104,0.0038,0.0352,0.0296,0.0033,31.8659,34.7876,9.406,31.4979,33.9239,9.1018,50.3092,60.1533,8.8363,50.2262,61.3252,6.1503,0.0081,0.0055,0.0,0.008,0.0047,0.0
Breaststroke Swimming Technique ｜ Stroke.mp4,competition_breaststroke,competition,breaststroke,71.2,0.534,0.1552,0.411,0.388,124.9718,47.4374,7.54,119.3251,53.6822,7.08,71.1349,50.3463,0.85,78.0684,53.1162,3.4,55.4928,46.2712,2.47,35.3239,27.0663,0.35,121.1446,59.998,0.97,0.0322,0.0293,0.0001,37.9218,29.3568,0.1,0.0181,0.0153,0.0002,34.0868,36.4767,0.07,22.8753,23.7777,0.42,0.1837,0.1834,0.0019,0.094,0.107,0.0,0.08,0.0588,0.0017,13.0608,26.6966,1.17,12.8589,26.0368,1.1555,16.653,30.9338,0.0497,16.1623,29.8431,0.29,0.0828,0.0638,0.0,0.0882,0.0721,0.0
Breaststroke Swimming ：： The 5 most important things.mp4,competition_breaststroke,competition,breaststroke,294.8,0.655,0.0888,0.434,0.939,119.4516,53.6799,0.32,124.701,51.4483,0.63,66.6241,58.4092,0.18,68.0032,57.5929,0.19,51.1464,54.4117,1.53,36.5099,26.5985,0.01,151.9723,31.6275,0.71,0.0357,0.0407,0.0,45.8599,30.6512,0.02,0.0227,0.0233,0.0,31.5711,40.3596,0.01,16.3649,23.0019,0.02,0.1439,0.1556,0.0001,0.1034,0.1349,0.0,0.0974,0.0972,0.0006,14.3762,20.3262,0.483,14.242,21.4747,-0.0791,21.654,35.3585,-0.8538,21.6431,34.8172,-0.7898,0.0526,0.1223,0.0,0.0522,0.1242,0.0
Caspar Corbeau Shatters 200m Breaststroke WR Under 2 Minutes! 😱 ｜ SWC 2025.mp4,competition_breaststroke,competition,breaststroke,139.4,0.38,0.1418,0.301,0.366,110.8795,55.4396,1.39,115.1058,56.2365,3.11,57.8698,58.4663,0.68,61.2372,62.0712,0.56,58.2545,43.9139,3.59,26.638,21.4756,0.08,125.3884,58.9855,1.44,0.0275,0.0328,0.0001,43.9587,24.9415,0.17,0.0139,0.0178,0.0,39.0663,39.7658,0.09,27.6616,32.9,0.19,0.1313,0.1011,0.0005,0.0445,0.0801,0.0,0.045,0.0462,0.0013,30.4238,52.7573,0.7723,30.0516,52.8538,0.6332,26.1483,41.4646,0.9432,26.0911,41.7584,0.6067,0.0981,0.0977,0.0,0.1031,0.1086,0.0
How To Swim Breaststroke PERFECTLY..mp4,competition_breaststroke,competition,breaststroke,277.5,0.472,0.121,0.386,0.446,131.5254,48.5873,0.26,130.3681,50.0487,2.02,60.2008,53.9255,0.43,59.2425,53.5089,0.71,68.3031,53.9895,1.96,35.0465,28.3139,0.01,140.3597,49.5039,1.5,0.0354,0.0326,0.0,44.789,29.8819,0.02,0.0237,0.0201,0.0,30.4787,35.5557,0.0,19.7508,24.2932,0.0,0.1217,0.1255,0.0001,0.1151,0.1812,0.0,0.0966,0.1308,0.0008,17.9342,45.2854,0.4664,17.9091,45.4323,-0.1469,16.1607,31.763,0.4121,16.2077,31.0237,1.0897,0.0683,0.1076,0.0,0.0693,0.1063,0.0
How to Swim Breaststroke ｜ Expert tips from Olympic Champion Stephanie Rice..mp4,competition_breaststroke,competition,breaststroke,331.8,0.401,0.1545,0.315,0.398,122.2178,50.8502,1.24,125.0735,47.1769,2.63,90.3471,60.1484,0.83,81.9097,60.1784,0.64,49.2863,43.7539,2.2,41.5723,26.9727,0.05,127.1952,56.8894,0.71,0.0321,0.0291,0.0,50.3625,27.4241,0.0,0.0189,0.0165,0.0,34.8293,35.9431,0.01,27.395,32.6005,0.03,0.1246,0.1209,0.0,0.0538,0.0633,0.0,0.0501,0.0366,0.0003,27.3285,99.3901,1.1645,27.1767,98.8749,1.6056,23.6923,87.5017,0.0693,23.5206,86.7591,0.8851,0.0694,0.055,0.0,0.069,0.0546,0.0
Improve your Breaststroke Technique feat. Breeja Larson ｜ Olympians' Tips.mp4,competition_breaststroke,competition,breaststroke,232.8,0.365,0.1148,0.3,0.441,110.3953,58.0956,0.46,119.7695,56.4682,1.1,44.0219,48.2163,0.9,43.1418,44.1259,0.86,103.339,52.4739,2.15,20.021,23.6609,0.05,143.6647,48.6674,0.96,0.0284,0.0236,0.0001,25.6262,29.3751,0.21,0.0173,0.0143,0.0001,33.2875,39.6383,0.05,15.4383,22.8705,0.0,0.1901,0.176,0.0003,0.1675,0.1694,0.0002,0.1671,0.1329,0.0005,18.7755,81.0902,0.368,18.0959,80.3046,-0.0041,14.7813,41.4378,1.8364,14.8773,42.6405,0.3536,0.1842,0.2986,0.0,0.1855,0.3005,0.0
Junior World Swimming Championships 2025： 200m Breaststroke Final (Shin vs Nowacki) Full Race.mp4,competition_breaststroke,competition,breaststroke,182.67,0.345,0.1193,0.356,0.321,139.8598,44.6785,3.42,137.3392,42.3458,6.44,38.1036,48.1456,0.74,35.5598,46.569,0.72,85.1237,55.6075,3.79,21.6285,21.4513,0.11,139.945,50.2512,1.15,0.013,0.0144,0.0001,33.3579,27.2834,0.49,0.008,0.0088,0.0,28.2154,29.7128,0.1,15.4109,23.9111,0.01,0.0417,0.0567,0.0,0.0315,0.0283,0.0001,0.0306,0.0198,0.0006,37.5856,68.0303,0.185,37.7839,67.8826,0.3257,51.0045,81.3961,0.9872,50.2089,80.1362,0.1689,0.0678,0.0839,0.0,0.0713,0.0847,0.0
Mens 100 breaststroke highspeed camera   slow motion.mp4,competition_breaststroke,competition,breaststroke,218.38,0.691,0.151,0.378,0.632,113.2515,55.5784,0.51,116.4755,53.0722,2.1,53.7593,52.5603,0.78,54.0736,52.057,0.5,83.0885,51.8854,1.74,22.3279,21.4495,0.02,111.1234,59.1474,0.79,0.0374,0.043,0.0,41.5982,29.1355,0.03,0.0241,0.0265,0.0,37.3095,36.6904,0.04,25.2685,30.9413,0.0,0.1251,0.141,0.0,0.0648,0.0849,0.0,0.07,0.0576,0.0016,18.4547,31.5725,-0.71,18.3402,31.887,-1.2861,25.4934,47.1186,0.0976,25.462,46.8854,0.9636,0.0709,0.0966,0.0,0.074,0.1056,0.0
New Way to Swim Breaststroke.mp4,competition_breaststroke,competition,breaststroke,326.58,0.68,0.147,0.32,0.721,132.9889,45.5528,1.23,128.0765,46.9911,1.6,82.4249,59.7419,0.68,82.1092,58.7612,0.58,57.7125,49.5398,1.21,31.6707,25.0649,0.02,135.8586,51.9812,0.37,0.0312,0.0305,0.0,41.6297,29.2686,0.01,0.0219,0.0188,0.0,31.4047,34.195,0.0,25.3003,29.9073,0.01,0.1041,0.101,0.0002,0.1033,0.1396,0.0,0.069,0.0648,0.0011,20.1326,27.7403,1.5194,19.9443,28.0659,0.5037,15.5684,19.6406,0.5834,15.5616,20.1298,0.7777,0.0643,0.0748,0.0,0.0667,0.0771,0.0
Peaty wins gold with new world record - Full Race.mp4,competition_breaststroke,competition,breaststroke,88.0,0.341,0.1244,0.27,0.438,133.0127,55.3558,3.2,106.3569,64.9212,1.74,41.9669,42.7273,0.68,39.5176,39.3784,0.75,78.0192,50.3143,2.3,20.9063,18.7126,0.02,152.3853,43.7214,1.08,0.0485,0.0441,0.0002,33.2593,28.0564,0.14,0.0215,0.0224,0.0001,50.402,61.129,0.02,19.364,21.1931,0.13,0.152,0.1834,0.0015,0.2036,0.2325,0.0009,0.1546,0.1563,0.0032,17.7106,35.311,0.7369,17.1043,35.6026,0.2086,21.5573,35.6582,0.6144,20.6292,35.4416,0.9939,0.1681,0.3293,0.0,0.1712,0.3267,0.0
Slow Motion Breaststroke.mp4,competition_breaststroke,competition,breaststroke,184.69,0.298,0.1078,0.405,0.311,125.4955,50.7074,2.29,117.3914,46.2903,1.35,57.3874,51.5747,0.59,54.7248,41.4863,0.71,57.7776,47.5268,0.62,37.1974,23.4452,0.11,143.9688,41.4588,2.79,0.0627,0.0651,0.0009,48.1132,26.3671,1.03,0.0391,0.0361,0.0,35.0454,32.5832,0.07,29.543,31.1244,0.06,0.1519,0.1438,0.0012,0.0638,0.0705,0.0,0.0893,0.064,0.0033,7.4816,9.6577,0.3467,7.349,9.9107,0.3291,10.0093,15.3831,1.3861,9.6318,14.8013,0.3934,0.0517,0.0641,0.0,0.0506,0.0644,0.0
평영 잘하는 법(feat 스테파니 라이스).mp4,competition_breaststroke,competition,breaststroke,185.83,0.387,0.1881,0.475,0.271,121.7304,50.4305,1.05,126.2447,48.6648,2.91,88.8708,61.5511,2.16,81.2845,57.8134,1.1,56.6713,46.9621,2.05,40.7424,26.8559,0.48,122.1189,55.0964,0.57,0.0353,0.0313,0.0001,52.8581,27.2194,0.29,0.0196,0.0171,0.0001,36.2772,38.505,0.14,22.6468,26.4781,0.02,0.1179,0.1128,0.0001,0.0442,0.0604,0.0002,0.0505,0.0346,0.001,27.9745,51.8627,3.8626,28.1847,52.6828,3.3412,21.9848,47.351,0.5097,22.2851,48.1358,0.6867,0.0847,0.061,0.0,0.0869,0.0622,0.0
"Butterfly - underwater, 접영 100미터 물속영상.mp4",competition_butterfly,competition,butterfly,55.05,0.745,0.1783,0.359,0.47,124.5352,50.0898,4.19,128.6913,46.1103,2.5,98.5501,54.9789,4.9,88.3212,56.4985,1.61,51.3973,46.9619,2.25,37.4429,24.6816,1.03,131.5935,57.1013,2.29,0.03,0.0244,0.0001,60.529,23.1599,0.59,0.0187,0.0146,0.0004,37.1512,37.5353,0.15,28.1682,31.3244,0.04,0.1621,0.1926,0.0005,0.0278,0.0334,0.0005,0.035,0.0253,0.0022,30.2117,46.4387,2.0191,29.8507,45.9383,1.6618,23.7811,30.3621,0.7479,23.5937,29.6658,1.7236,0.0696,0.0447,0.0,0.0664,0.0431,0.0
Butterfly Slow Motion; 2 views.mp4,competition_butterfly,competition,butterfly,130.13,0.346,0.0714,0.39,0.561,143.0661,33.1231,4.4,136.4956,47.1177,2.72,80.2283,66.4551,1.01,89.6618,61.8186,0.78,23.7532,43.0606,1.95,44.93,18.9797,0.12,150.6697,29.5379,7.58,0.0212,0.0221,0.0,48.3811,26.0529,0.05,0.0171,0.0139,0.0003,29.5071,33.9613,0.08,24.7215,32.4303,0.01,0.0444,0.0364,0.0006,0.0503,0.0552,0.0001,0.0281,0.0202,0.003,33.1826,27.133,1.8132,34.9322,27.5239,1.9205,21.4836,17.1437,2.9051,22.0264,17.4645,2.0253,0.019,0.024,0.0,0.0196,0.0238,0.0
Butterfly Swim with MINIMAL Strength.mp4,competition_butterfly,competition,butterfly,318.15,0.808,0.114,0.43,0.851,139.1227,40.3402,1.2,143.1182,39.4351,1.85,87.128,60.8087,0.49,86.6925,60.5946,0.69,48.8696,54.9742,0.88,40.74,27.0153,0.0,136.8622,47.8438,0.48,0.0642,0.0681,0.0001,56.8643,30.1855,0.03,0.0368,0.0349,0.0,23.5874,29.4812,0.0,18.7,23.7385,0.0,0.1519,0.1444,0.0001,0.0703,0.0961,0.0,0.0892,0.0733,0.0005,18.9831,40.076,1.5554,19.2516,41.081,0.3672,20.0759,60.0418,-4.2534,20.1989,59.5581,-1.4351,0.0546,0.0637,0.0,0.0555,0.0647,0.0
Butterfly Swimming Technique ｜ Stroke.mp4,competition_butterfly,competition,butterfly,85.6,0.409,0.1316,0.444,0.373,132.7741,41.0655,16.87,126.4953,47.8766,2.52,72.9371,51.9495,1.08,67.5257,50.7953,0.46,63.1707,56.2248,1.99,53.8946,24.5187,1.17,126.642,52.3708,1.21,0.0414,0.0416,0.0,54.6833,33.0147,0.08,0.0232,0.0219,0.0002,30.1331,31.0845,0.07,25.2556,28.9306,0.08,0.09,0.0924,0.0008,0.0595,0.0743,0.0002,0.0646,0.0471,0.0009,23.1573,52.1991,0.3856,22.9149,52.2396,0.2458,26.4116,55.7403,0.7705,26.4632,54.7045,1.4193,0.0655,0.06,0.0,0.0632,0.0623,0.0
Butterfly Swimming Technique.  Timing.  How to swim butterfly.mp4,competition_butterfly,competition,butterfly,150.98,0.623,0.1476,0.324,0.655,123.7749,52.3884,0.49,124.2671,52.4317,0.54,104.4459,56.3951,0.91,103.1184,57.3697,1.01,58.064,53.8299,2.22,42.6604,28.4114,0.02,121.1571,54.2586,0.72,0.0437,0.0502,0.0,51.3091,31.1288,0.03,0.029,0.0291,0.0,27.4919,29.9598,0.01,20.836,21.1545,0.13,0.2065,0.2534,0.0003,0.0882,0.1349,0.0,0.0806,0.0693,0.0021,11.4063,25.3963,0.1104,11.034,25.415,0.154,17.6914,28.2838,0.0424,17.878,28.4206,-0.183,0.075,0.1053,0.0,0.0863,0.1238,0.0
